,Title,Artist,Top100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
7822,Caged Bird,Myles Cameron,0,3MPcfaxPTQPR3w58qaODvX,0.575,0.352,1,-13.813,1,0.0388,0.768,0.485,0.0974,0.447,100.023,235200,4
7823,More Than Friends,RealLiveAnimals,0,01pmPw3Tfm08YF1rRdTcv6,0.742,0.301,2,-10.652,0,0.0424,0.47,0.000154,0.108,0.268,116.914,164153,4
7824,Speaking Of,Souly Had,0,3nPxnMPQG3J8ndJqAetZya,0.458,0.502,1,-7.483,1,0.361,0.479,0,0.102,0.612,174.098,202248,3
7825,Rarri,Amilli,0,4DU9lFHzSh1M52pZEeBEwb,0.817,0.482,6,-6.715,1,0.064,0.618,0.000334,0.161,0.612,95.992,205469,4
7826,Easy Baby,Denyah,0,3hiaRDT2SmsR8aYl93MqgT,0.829,0.408,9,-10.172,1,0.0389,0.769,0.544,0.104,0.753,124.983,199900,4
7827,One Chick,Sondai,0,6mY56gQjKYzpwyK2PNRJst,0.824,0.633,9,-6.875,0,0.168,0.306,0,0.353,0.932,136.086,217059,4
7828,Pocket P Song,Lndfk,0,3mEfrj8dgtfBs3j18dvh5V,0.647,0.328,5,-14.083,0,0.349,0.936,0.00353,0.162,0.513,80.64,212844,4
7829,Arouse,Shagabond,0,4u1DykFW1HjYAGNoDCiXfC,0.67,0.751,1,-6.066,1,0.433,0.0728,0,0.368,0.533,91.961,213913,4
7830,Night Terrific! (feat. Yaqob),ODIE,0,1wQxWFfARHkHVPd9PnZiKU,0.694,0.319,4,-11.271,0,0.123,0.859,2.14E-06,0.208,0.167,82.007,164267,4
7831,Wolverine,Diana Gordon,0,7pYe0vDmQRJoqbkE6YWgHk,0.712,0.504,7,-6.95,1,0.044,0.0346,0.000955,0.185,0.078,129.994,212440,4
7832,Fo'Sho,April + Vista,0,0CM3khntl1m4Un7q1E0KJS,0.917,0.434,0,-9.142,1,0.209,0.3,0.0275,0.0856,0.444,139.926,108947,4
7833,Queen Tings,Masego,0,5tkR9JkBj3Ueeo8W4k8IZD,0.818,0.461,6,-6.475,0,0.292,0.598,0.000135,0.108,0.532,88.006,188053,4
7834,18,emawk,0,3aTZwNMCZrIXoLzHNCAjhB,0.483,0.305,11,-8.15,0,0.268,0.877,6.78E-05,0.126,0.273,79.458,205370,4
7835,Camelblues,Mndsgn,0,6AQobWDXD64OnrlmIeZaja,0.594,0.304,9,-15.353,0,0.029,0.947,0.198,0.0933,0.13,79.994,152985,4
7836,Regal,Noname,0,5Pn2CGpnW6D5MlqMbpLCKZ,0.339,0.482,6,-11.734,1,0.0989,0.819,0.253,0.122,0.485,79.591,168363,1
7837,Close But Not Quite,Everything Is Recorded,0,7hfGhtkWBWiam6LlsIgATD,0.803,0.618,7,-9.513,0,0.113,0.616,0.00165,0.512,0.563,145.992,205614,4
7838,Slept on,Yeek,0,0lkCFhHam8DdmMDSYZ0ON5,0.505,0.269,7,-15.936,1,0.0447,0.586,0,0.0874,0.487,183.776,185217,4
7839,No Limitations,Tidus,0,3SQzDSE1GoJoCT2LiVCdw9,0.814,0.293,6,-14.108,0,0.0621,0.806,0.0111,0.0772,0.382,109.019,346233,4
7840,Often,Abhi//Dijon,0,4RdBZE3BH44wZXoj2vmjez,0.599,0.27,4,-17.638,1,0.0905,0.845,0.00042,0.11,0.377,124.155,189786,5
7841,Worth / Gotta Get Away,Maxwell Young,0,6LPA8zzBTFrrsdg6roLWJw,0.403,0.19,1,-19.54,0,0.0541,0.875,0.84,0.129,0.0579,128.59,213333,5
7842,Young Lost Love,Appleby,0,6inzFkThegOcsjxWgn0AP8,0.292,0.321,11,-10.84,1,0.0394,0.945,0.389,0.691,0.0393,75.959,239658,4
7843,Insane,Cero Ismael,0,2DN7uf0CYLtvbzEFLWPMWq,0.645,0.428,0,-10.917,1,0.292,0.718,0,0.133,0.572,129.641,173830,4
7844,Nont For Sale,Sudan Archives,0,4jdbP4Ue4QtGy5A40ri5F8,0.757,0.502,11,-7.522,0,0.0909,0.0906,4.16E-06,0.126,0.399,139.998,219690,4
7845,Trance Dance,ODIE,0,3iGxtTIbGtUJVMbnHyaPMM,0.623,0.558,0,-8.782,0,0.0457,0.49,0,0.173,0.455,90.505,225568,4
7846,Pickathon,Myke Bogan,0,3tNRx9Oq8zaGsieYJXQsBb,0.566,0.397,6,-10.429,0,0.372,0.491,0,0.134,0.362,74.517,222045,4
7847,Obvious,Shaqdi,0,0PhAijrqPCZ3g9x2i9lHTC,0.758,0.416,5,-12.722,0,0.101,0.566,4.82E-05,0.0744,0.5,104.935,256000,4
7848,"Pink and Blue (feat. BOSCO, DUCKWRTH & Jay Anthony)",JULiA LEWiS,0,1es4YdEihtpmoodyVp9WfI,0.71,0.393,5,-8.703,0,0.191,0.555,0.00111,0.102,0.431,76.054,225093,4
7849,blue Mountain ridge,Vicktor Taiwò,0,6GSPtHm40f49Z8JiI2aD20,0.571,0.473,6,-12.283,1,0.0759,0.41,0.331,0.457,0.202,146.052,222240,4
7850,I Forgive You,Tommy Newport,0,0gtDbHD0L6p3JxqmtmZw4x,0.776,0.474,0,-7.26,0,0.035,0.42,0.000172,0.104,0.673,109.944,177109,4
7851,Sex for Breakfast,Lo'fi Boy,0,1BK5u5dCqEateAptzwHaYa,0.784,0.346,6,-12.193,0,0.0645,0.226,0.899,0.0869,0.379,145.553,148454,3
7852,Edition,Rex Orange County,0,1wz7B02oOtrTW6SNLG0cSk,0.86,0.332,1,-10.263,1,0.22,0.807,0,0.106,0.26,140.949,115000,4
7853,Bull Fighter,Jean Dawson,0,4i9wgfnHp6dcEcYcwsQvVO,0.407,0.745,2,-5.315,1,0.0631,0.578,0.00082,0.253,0.413,79.105,257685,4
7854,stolen car,ROLE MODEL,0,390lcRb0StMukyozd2zFwB,0.442,0.261,3,-14.327,0,0.0711,0.919,0.000605,0.0794,0.0732,144.717,194587,4
7855,Beige,Villette,0,4IQiDVHeEfXwQlVSycgCiu,0.662,0.514,0,-9.517,0,0.0454,0.487,0.000119,0.108,0.121,99.063,180000,4
7856,"Pink Hair, Green Eyes",Balcony,0,7Gwsnz21usfE6ZfeAiiKZa,0.441,0.435,3,-11.55,0,0.42,0.0117,0,0.109,0.362,82.477,231306,4
7857,Forest Fire,YOG$,0,28UEoZbI67jfPdsem4Ri9F,0.635,0.626,6,-8.439,0,0.396,0.418,1.19E-05,0.094,0.66,79.88,214500,4
7858,Hmmhmm,Lèlèman,0,3jlomNY3BWgfaEztgBs8yl,0.727,0.368,9,-13.509,1,0.303,0.348,0.000131,0.18,0.355,143.95,148750,4
7859,moody,kerri,0,6cZCzhpno2zZlGJx4KzhGm,0.634,0.352,0,-13.554,1,0.0371,0.786,0.425,0.116,0.307,140.028,246857,4
