,Title,Artist,Top100,URI
0,In The End,Linkin Park,0,7KSjlzDJvwAG0utAYE9Vvg
1,Seven Nation Army,The White Stripes,0,7i6r9KotUPQg3ozKKgEPIN
2,By The Way,Red Hot Chili Peppers,0,3ZOEytgrvLwQaqXreDs2Jx
3,Bring Me To Life,Evanescence,0,0COqiPhxzoWICwFCS4eZcp
4,Last Resort,Papa Roach,0,5W8YXBz9MTIDyrpYaCg2Ky
5,Sex on Fire,Kings of Leon,0,0ntQJM78wzOLVeCUAW7Y45
6,Smooth Criminal,Alien Ant Farm,0,5z6xHjCZr7a7AIcy8sPBKy
7,Can't Stop,Red Hot Chili Peppers,0,3ZOEytgrvLwQaqXreDs2Jx
8,Chop Suey!,System Of A Down,0,2DlHlPMa4M17kufBvI2lEN
9,Take Me Out,Franz Ferdinand,0,6ooluO7DiEhI1zmK94nRCM
10,I Miss You,blink-182,0,1oTo3ijRbaDAtrjJrGAPSw
11,The Kill (Bury Me),Thirty Seconds To Mars,0,232FvPwx9QqPtvob5aSDKv
12,No One Knows,Queens of the Stone Age,0,6NvRxjfYkkT2SpirAlmsjH
13,Jerk It Out,Caesars,0,5XMjXjwCkJVmk0AHm7z8IV
14,Uprising,Muse,0,4VqPOruhp5EdPBeR92t6lQ
15,American Idiot,Green Day,0,6nTiIhLmQ3FWhvrGafw2zj
16,All My Life,Foo Fighters,0,6tsojOQ5wHaIjKqIryLZK6
17,I Hate Everything About You,Three Days Grace,0,6rUp7v3l8yC4TKxAAR5Bmx
18,Rollin' (Air Raid Vehicle),Limp Bizkit,0,3IV4swNduIRunHREK80owz
19,Fat Lip,Sum 41,0,4KacUpvbA3Mfo05gttTjhN
20,The Pretender,Foo Fighters,0,7x8dCjCr0x6x2lXKujYD34
21,Savior,Rise Against,0,3asFGFY3uLjMDmML1p0tYm
22,Bodies,Drowning Pool,0,7CpbhqKUedOIrcvc94p60Y
23,Last Nite,The Strokes,0,3SUusuA9jH1v6PVwtYMbdv
24,Through Glass,Stone Sour,0,5NeIONQWJ25uPylJBJiO4c
25,The Diary of Jane - Single Version,Breaking Benjamin,0,0faXHILILebCGnJBPU6KJJ
26,Down With the Sickness,Disturbed,0,40rvBMQizxkIqnjPdEWY1v
27,Wish You Were Here,Incubus,0,6KtLECDztnah63TNmV4Plw
28,Youth Of The Nation,P.O.D.,0,0UrWr7Jnu1heq1o99ZwUd0
29,Vertigo,U2,0,57ZXcBtCZXSg9TVV5xRdnR
30,Miss Murder,AFI,0,0Ti2dlF2xLjXblvdU5fCxM
31,I Bet You Look Good On The Dancefloor,Arctic Monkeys,0,29EkMZmUNz1WsuzaMtVo1i
32,"Steady, As She Goes",The Raconteurs,0,19iqWNzp5LwEdvntpEK8MP
33,Falling Away from Me,Korn,0,2F6FfZ4w8z3eJpSxPotVO5
34,Crawling In The Dark,Hoobastank,0,3wli6CFsUwYEuLZTIuCwt3
35,I Stand Alone,Godsmack,0,44NRdYQw7P0GWuiunRv3hr
